Key: fCg, Score: 22
Key: gDN, Score: 5
Key: zCg, Score: 4
Key: KCg, Score: 4
Key: aCN, Score: 4
Key: fDN, Score: 4
Key: fCJ, Score: 4
Key: fEM, Score: 4
Key: aCg, Score: 3
Key: fWg, Score: 3
Key: zEN, Score: 3
Key: zEg, Score: 3
Key: aCJ, Score: 3
Key: fOg, Score: 3
Key: fDJ, Score: 3
Key: fCN, Score: 3
Key: zEM, Score: 3
Key: gCN, Score: 3
Key: dEg, Score: 3
Key: gAg, Score: 3
Key: jEN, Score: 3
Key: JEN, Score: 3
Key: sDN, Score: 3
Key: gDg, Score: 3
Key: zCM, Score: 3
Key: gOg, Score: 3
Key: aCM, Score: 3
Key: MCJ, Score: 3
Key: jEg, Score: 3
Key: JEg, Score: 3
Key: bXN, Score: 3
Key: jWg, Score: 3
Key: bXg, Score: 3
Key: fEN, Score: 2
Key: zMN, Score: 2
Key: zMg, Score: 2
Key: LEg, Score: 2
Key: fEg, Score: 2
Key: sBg, Score: 2
Key: lCg, Score: 2
Key: LCg, Score: 2
Key: fUg, Score: 2
Key: zCN, Score: 2
Key: zXN, Score: 2
Key: fDg, Score: 2
Key: fEJ, Score: 2
Key: fOJ, Score: 2
Key: gAJ, Score: 2
Key: KCN, Score: 2
Key: zXg, Score: 2
Key: zOg, Score: 2
Key: sBN, Score: 2
Key: zMM, Score: 2
Key: dEN, Score: 2
Key: zXM, Score: 2
Key: KWg, Score: 2
Key: OBg, Score: 2
Key: fUN, Score: 2
Key: OCg, Score: 2
Key: zCJ, Score: 2
Key: KC3, Score: 2
Key: fHg, Score: 2
Key: LC3, Score: 2
Key: fZg, Score: 2
Key: fAg, Score: 2
Key: bEN, Score: 2
Key: eXJ, Score: 2
Key: bEg, Score: 2
Key: fD4, Score: 2
Key: fAf, Score: 2
Key: fDM, Score: 2
Key: sDg, Score: 2
Key: jLg, Score: 2
Key: zXJ, Score: 2
Key: fC4, Score: 2
Key: KCJ, Score: 2
Key: dEM, Score: 2
Key: LC4, Score: 2
Key: dEJ, Score: 2
Key: OUg, Score: 2
Key: jBN, Score: 2
Key: gAN, Score: 2
Key: jC3, Score: 2
Key: yDN, Score: 2
Key: sUg, Score: 2
Key: MTg, Score: 2
Key: sXN, Score: 2
Key: bKg, Score: 2
Key: bEM, Score: 2
Key: KBg, Score: 1
Key: gPg, Score: 1
Key: lEg, Score: 1
Key: fAJ, Score: 1
Key: zBg, Score: 1
Key: lEN, Score: 1
Key: LEN, Score: 1
Key: fQg, Score: 1
Key: fLg, Score: 1
Key: fDK, Score: 1
Key: gLg, Score: 1
Key: lLg, Score: 1
Key: LLg, Score: 1
Key: fEd, Score: 1
Key: fEf, Score: 1
Key: yCg, Score: 1
Key: fBg, Score: 1
Key: bBg, Score: 1
Key: hBg, Score: 1
Key: sCg, Score: 1
Key: rCg, Score: 1
Key: aBg, Score: 1
Key: fPN, Score: 1
Key: LEK, Score: 1
Key: KBN, Score: 1
Key: fPf, Score: 1
Key: fGJ, Score: 1
Key: aC3, Score: 1
Key: gLN, Score: 1
Key: fON, Score: 1
Key: fKJ, Score: 1
Key: fWf, Score: 1
Key: zJg, Score: 1
Key: LEL, Score: 1
Key: fGf, Score: 1
Key: aBN, Score: 1
Key: jBg, Score: 1
Key: JBg, Score: 1
Key: aA9, Score: 1
Key: aTg, Score: 1
Key: fKg, Score: 1
Key: lEM, Score: 1
Key: LEM, Score: 1
Key: aCf, Score: 1
Key: MM9, Score: 1
Key: zDg, Score: 1
Key: zTg, Score: 1
Key: zCf, Score: 1
Key: fM9, Score: 1
Key: nCg, Score: 1
Key: gWg, Score: 1
Key: KEd, Score: 1
Key: nEN, Score: 1
Key: gBg, Score: 1
Key: lXJ, Score: 1
Key: LXJ, Score: 1
Key: zDN, Score: 1
Key: KC9, Score: 1
Key: fA4, Score: 1
Key: lCJ, Score: 1
Key: LCJ, Score: 1
Key: fKN, Score: 1
Key: LC9, Score: 1
Key: fA9, Score: 1
Key: MD9, Score: 1
Key: zM9, Score: 1
Key: gUg, Score: 1
Key: cBg, Score: 1
Key: LCf, Score: 1
Key: KQg, Score: 1
Key: KLg, Score: 1
Key: lC3, Score: 1
Key: fD9, Score: 1
Key: pCN, Score: 1
Key: fDa, Score: 1
Key: nEg, Score: 1
Key: fOf, Score: 1
Key: iDN, Score: 1
Key: lXg, Score: 1
Key: LXg, Score: 1
Key: aXN, Score: 1
Key: KJg, Score: 1
Key: gA9, Score: 1
Key: lEJ, Score: 1
Key: LEJ, Score: 1
Key: MDd, Score: 1
Key: bBN, Score: 1
Key: gHg, Score: 1
Key: zDK, Score: 1
Key: dCg, Score: 1
Key: fM4, Score: 1
Key: MDK, Score: 1
Key: iTg, Score: 1
Key: aAg, Score: 1
Key: JLg, Score: 1
Key: LMg, Score: 1
Key: MDa, Score: 1
Key: zA9, Score: 1
Key: KPN, Score: 1
Key: fUJ, Score: 1
Key: OLg, Score: 1
Key: fJJ, Score: 1
Key: hBN, Score: 1
Key: fDd, Score: 1
Key: MC3, Score: 1
Key: LGg, Score: 1
Key: fO9, Score: 1
Key: MDN, Score: 1
Key: fDf, Score: 1
Key: cBN, Score: 1
Key: yCf, Score: 1
Key: eBg, Score: 1
Key: fOd, Score: 1
Key: rCN, Score: 1
Key: bC3, Score: 1
Key: lXN, Score: 1
Key: LXN, Score: 1
Key: iCN, Score: 1
Key: MD3, Score: 1
Key: OEd, Score: 1
Key: eC3, Score: 1
Key: LVK, Score: 1
Key: fUM, Score: 1
Key: KBJ, Score: 1
Key: OEf, Score: 1
Key: jEd, Score: 1
Key: iPg, Score: 1
Key: zCa, Score: 1
Key: dDK, Score: 1
Key: aBJ, Score: 1
Key: aA5, Score: 1
Key: KPf, Score: 1
Key: oUg, Score: 1
Key: KDg, Score: 1
Key: lM9, Score: 1
Key: LM9, Score: 1
Key: gHM, Score: 1
Key: lXM, Score: 1
Key: LXM, Score: 1
Key: fDL, Score: 1
Key: jC9, Score: 1
Key: eDK, Score: 1
Key: cBJ, Score: 1
Key: jPN, Score: 1
Key: yC3, Score: 1
Key: KXf, Score: 1
Key: yDg, Score: 1
Key: MJg, Score: 1
Key: MFg, Score: 1
Key: fC9, Score: 1
Key: pC3, Score: 1
Key: iLg, Score: 1
Key: KEf, Score: 1
Key: gHJ, Score: 1
Key: JC3, Score: 1
